Time,max
190821000005,12.1
190821000019,10.6
190821000032,10.8
190821000046,10.8
190821000059,11.5
190821000112,11.3
190821000125,12.6
190821000139,11.0
190821000152,11.2
190821000205,11.3
190821000219,10.6
190821000232,10.2
190821000245,10.7
190821000259,9.5
190821000312,10.8
190821000325,10.6
190821000339,10.8
190821000352,11.0
190821000405,10.7
190821000419,9.7
190821000432,10.4
190821000445,9.7
190821000459,9.3
190821000512,9.5
190821000525,9.5
190821000539,9.6
190821000552,10.4
190821000605,9.9
190821000619,9.8
190821000632,10.8
190821000646,9.5
190821000659,9.0
190821000712,10.0
190821000726,10.6
190821000739,9.4
190821000752,9.6
190821000806,9.1
190821000819,9.2
190821000832,9.6
190821000846,9.5
190821000859,10.2
190821000912,10.7
190821000926,10.4
190821000939,10.5
190821000952,11.4
190821001006,9.6
190821001019,9.8
190821001032,10.1
190821001046,9.4
190821001059,9.9
190821001112,9.8
190821001126,10.3
190821001139,10.1
190821001152,10.5
190821001206,10.6
190821001219,10.6
190821001232,10.9
190821001246,10.2
190821001259,9.8
190821001312,10.5
190821001326,11.0
190821001339,10.4
190821001352,10.1
190821001406,9.1
190821001419,9.7
190821001432,10.3
190821001446,9.9
190821001459,9.7
190821001512,10.2
190821001526,10.0
190821001539,10.0
190821001552,10.4
190821001606,10.4
190821001619,9.9
190821001633,10.8
190821001646,10.6
190821001659,10.8
190821001713,11.5
190821001726,10.3
190821001739,10.5
190821001753,13.0
190821001806,11.1
190821001819,11.3
190821001833,11.0
190821001846,11.7
190821001859,11.5
190821001913,12.0
190821001926,11.8
190821001939,11.9
190821001953,10.8
190821002006,10.5
190821002020,11.2
190821002033,11.9
190821002046,11.4
190821002059,12.7
190821002113,12.5
190821002126,12.3
190821002139,12.3
190821002153,12.3
190821002206,12.9
190821002219,12.4
190821002233,12.2
190821002246,12.4
190821002259,12.4
190821002313,12.4
190821002326,12.2
190821002339,12.4
190821002353,12.0
190821002406,12.1
190821002419,13.1
190821002433,11.8
190821002446,11.8
190821002459,12.5
190821002513,12.4
190821002526,11.8
190821002539,11.3
190821002553,12.8
190821002606,11.7
190821002619,12.3
190821002633,12.5
190821002646,12.1
190821002659,13.0
190821002713,12.2
190821002726,12.0
190821002739,12.1
190821002753,12.3
190821002806,12.9
190821002819,12.4
190821002833,12.3
190821002846,12.4
190821002859,12.9
