index,Date,time,max,region,label,record
0,2019-08-21,00:00:05,12.1,< 1.5,,
1,2019-08-21,00:00:19,10.6,< 1.5,,
2,2019-08-21,00:00:32,10.8,< 1.5,表面髒污,
3,2019-08-21,00:00:46,10.8,< 1.5,,
4,2019-08-21,00:00:59,11.5,< 1.5,,
5,2019-08-21,00:01:12,11.3,< 1.5,,
6,2019-08-21,00:01:25,12.6,1.5 ~ 3,毛邊,
7,2019-08-21,00:01:39,11.0,< 1.5,,
8,2019-08-21,00:01:52,11.2,< 1.5,,
9,2019-08-21,00:02:05,11.3,< 1.5,,
10,2019-08-21,00:02:19,10.6,< 1.5,,
11,2019-08-21,00:02:32,10.2,< 1.5,,
12,2019-08-21,00:02:45,10.7,< 1.5,,
13,2019-08-21,00:02:59,9.5,< 1.5,,
14,2019-08-21,00:03:12,10.8,< 1.5,,
15,2019-08-21,00:03:25,10.6,< 1.5,,
16,2019-08-21,00:03:39,10.8,< 1.5,,
17,2019-08-21,00:03:52,11.0,< 1.5,,
18,2019-08-21,00:04:05,10.7,< 1.5,,
19,2019-08-21,00:04:19,9.7,< 1.5,,
20,2019-08-21,00:04:32,10.4,< 1.5,,
21,2019-08-21,00:04:45,9.7,< 1.5,,
22,2019-08-21,00:04:59,9.3,< 1.5,,
23,2019-08-21,00:05:12,9.5,< 1.5,,
24,2019-08-21,00:05:25,9.5,< 1.5,,
25,2019-08-21,00:05:39,9.6,< 1.5,,
26,2019-08-21,00:05:52,10.4,< 1.5,,
27,2019-08-21,00:06:05,9.9,< 1.5,,
28,2019-08-21,00:06:19,9.8,< 1.5,,
29,2019-08-21,00:06:32,10.8,< 1.5,,
30,2019-08-21,00:06:46,9.5,< 1.5,,
31,2019-08-21,00:06:59,9.0,< 1.5,,
32,2019-08-21,00:07:12,10.0,< 1.5,,
33,2019-08-21,00:07:26,10.6,< 1.5,,
34,2019-08-21,00:07:39,9.4,< 1.5,,
35,2019-08-21,00:07:52,9.6,< 1.5,,
36,2019-08-21,00:08:06,9.1,< 1.5,,
37,2019-08-21,00:08:19,9.2,< 1.5,,
38,2019-08-21,00:08:32,9.6,< 1.5,,
39,2019-08-21,00:08:46,9.5,< 1.5,,
40,2019-08-21,00:08:59,10.2,< 1.5,,
41,2019-08-21,00:09:12,10.7,< 1.5,,
42,2019-08-21,00:09:26,10.4,< 1.5,,
43,2019-08-21,00:09:39,10.5,< 1.5,,
44,2019-08-21,00:09:52,11.4,< 1.5,,
45,2019-08-21,00:10:06,9.6,< 1.5,,
46,2019-08-21,00:10:19,9.8,< 1.5,,
47,2019-08-21,00:10:32,10.1,< 1.5,,
48,2019-08-21,00:10:46,9.4,< 1.5,,
49,2019-08-21,00:10:59,9.9,< 1.5,,
50,2019-08-21,00:11:12,9.8,< 1.5,,
51,2019-08-21,00:11:26,10.3,< 1.5,,
52,2019-08-21,00:11:39,10.1,< 1.5,,
53,2019-08-21,00:11:52,10.5,< 1.5,,
54,2019-08-21,00:12:06,10.6,< 1.5,,
55,2019-08-21,00:12:19,10.6,< 1.5,,
56,2019-08-21,00:12:32,10.9,< 1.5,,
57,2019-08-21,00:12:46,10.2,< 1.5,,
58,2019-08-21,00:12:59,9.8,< 1.5,,
59,2019-08-21,00:13:12,10.5,< 1.5,,
60,2019-08-21,00:13:26,11.0,< 1.5,,
61,2019-08-21,00:13:39,10.4,< 1.5,,
62,2019-08-21,00:13:52,10.1,< 1.5,,
63,2019-08-21,00:14:06,9.1,< 1.5,,
64,2019-08-21,00:14:19,9.7,< 1.5,,
